,uid,lat
0,1,55.41809763636365
1,2,44.05441433333333
2,3,45.69859052631579
3,4,44.84712313636363
4,5,40.49727958333333
5,6,48.452698778571424
6,7,44.07608330833333
7,8,47.035250041666664
8,9,47.03870926666667
9,10,59.566316461538456
10,11,60.138086000000015
11,12,60.403584538461544
12,13,61.522729999999996
13,14,68.53208185714286
14,15,67.21800984375001
15,16,63.75390857692308
16,17,60.17006184536084
17,18,-19.79559486666667
18,19,-18.653127797368423
19,20,-11.865369487912085
20,21,50.90379786666667
21,22,65.53659926444445
22,23,56.55670407692308
23,24,51.20030475000001
24,25,55.36382637499999
25,26,52.34735664285714
26,27,40.614299666666675
27,28,57.783416900000006
28,29,58.475019553846145
29,30,-26.640621641666666
30,31,-26.640620266666662
31,32,-26.640627708333326
32,33,-26.64062911666667
33,34,-26.64038604166667
34,35,56.18089142857143
35,36,55.830781
36,37,55.307059187499995
37,39,50.6083866
38,40,51.01627656470588
39,41,48.45172233707866
40,42,45.84707291666667
41,43,46.73055250000001
42,44,21.931809774193546
43,45,-34.74344299090909
44,46,50.16944892307692
45,47,54.94168
46,48,47.72745686428571
47,49,49.91622629411764
48,50,49.926593187499996
49,51,41.48679976923077
50,52,47.835471100000014
51,53,-15.975724849999999
52,54,-15.980812375000001
53,55,-16.030238075000003
54,56,-23.01504317317073
55,57,-25.47541522727273
56,58,-26.118730776923076
57,59,-27.935458464102567
58,60,47.15625537096774
59,61,47.29262683333333
60,62,49.96903101764706
61,63,63.09271059230769
62,64,62.55732749411765
63,65,53.29113565862068
64,66,46.10385535416666
65,67,45.51163115384616
66,68,52.96953516666667
67,69,59.682632268292686
68,70,56.82166191549297
69,71,56.94185548
70,72,57.83530853846154
71,73,12.065925691666669
72,74,-39.419624947368426
73,75,36.381111833333335
74,76,50.39059574647887
75,77,47.20279196551724
76,78,51.0830329375
77,79,50.45049528571429
78,80,52.07666107894736
79,82,51.65117286956524
80,83,51.81163474615385
81,84,64.1347048
82,85,63.128541944444436
83,86,57.4770355875
84,87,36.35909775
85,88,36.67069110526316
86,89,47.193399351351374
87,90,40.073148625
88,91,31.593526278947373
89,92,49.403547338461536
90,93,50.56147041666666
91,95,48.87635169230769
92,96,48.559917999999996
93,97,60.601493442105244
94,98,18.796915683333335
95,99,41.55333023636365
96,100,42.21518382045455
97,101,45.61818465833333
98,102,58.00217480000001
99,103,49.07129673333334
100,104,59.20604525
101,105,49.68231222222222
102,106,50.30153441558442
103,107,54.9645302
104,108,40.626744225
105,110,38.18970715
106,111,37.02071641153846
107,112,-1.2420863160000004
108,113,-2.9776415208333336
109,114,48.87158803157895
110,115,53.181046559999984
111,116,57.23554115384615
112,117,58.92330844827587
113,119,52.308039083333334
114,120,40.266849077272724
115,121,57.634248263157886
116,122,-35.695061238095235
117,124,-37.050782500000004
118,125,26.941049533333334
119,126,43.53611906153846
120,127,-34.68188260377359
121,128,-34.306166625
122,129,51.697550869565205
123,130,51.72795996296295
124,131,60.648960968749996
125,132,52.392212699999995
126,133,47.26233019230769
127,134,47.30290602307692
128,135,52.57614949999999
129,136,60.943083588235304
130,137,60.35504010344828
131,138,46.25437145714286
132,139,55.13666382352942
133,140,54.943291114285714
134,141,53.353764652173915
135,142,31.952632666666666
136,143,47.075406588235296
137,144,46.238766000000005
138,147,44.109277772727275
139,148,45.521011428571434
140,149,45.649997538461534
141,150,-33.10871224583334
142,151,-22.86433086875
143,152,-22.90637762352941
144,153,54.829572774999995
145,155,38.01218103225807
146,156,45.34452700000001
147,157,51.304178430303025
148,159,55.64694253846154
149,160,51.80276044615384
150,161,59.67575205825246
