uid,row_number,lat,lon,ele
118,1,49.784248,39.227333,93.57
118,10,49.145134,38.922512,62.18
118,11,49.059277,38.934414,58.22
118,12,48.982208,39.002148,57.91
118,13,48.939449,39.099628,141.73
118,14,48.856365,39.143494,153.62
118,15,48.772789,39.188217,100.89
118,16,48.71349,39.284729,127.41
118,17,48.62991,39.287743,128.32
118,18,48.568535,39.316261,104.85
118,2,49.719398,39.138256,80.77
118,3,49.67001,39.060287,67.06
118,4,49.58638,39.09639,71.93
118,5,49.51936,39.115845,69.8
118,6,49.469025,39.016151,66.14
118,7,49.389469,38.967068,60.96
118,8,49.30933,38.928185,60.96
118,9,49.232803,38.917839,61.87
1180,1,48.163565,11.53741,516.37
1180,10,48.883009,11.466187,484.16
1180,11,48.964167,11.418869,507.23
1180,12,49.032361,11.361584,385.15
1180,13,49.100869,11.28452,415.43
1180,14,49.18664,11.252219,428.89
1180,15,49.278696,11.209551,392.84
1180,16,49.372852,11.201191,358.71
1180,17,49.458521,11.237793,348.62
1180,18,49.503894,11.124537,345.73
1180,19,49.55336,11.008873,289.49
1180,2,48.193005,11.615431,495.7
1180,20,49.580137,10.884431,326.02
1180,21,49.592908,10.772116,346.21
1180,22,49.654422,10.805779,320.26
1180,23,49.707025,10.716489,288.05
1180,24,49.728234,10.639071,336.6
1180,25,49.763407,10.533643,330.83
1180,26,49.77868,10.401344,331.79
1180,27,49.782522,10.268839,218.84
1180,28,49.785124,10.136399,229.41
1180,29,49.741187,10.01254,246.23
1180,3,48.276439,11.642468,474.07
1180,30,49.738806,9.982081,202.49
1180,4,48.365915,11.595322,459.65
1180,5,48.456784,11.591058,479.84
1180,6,48.542084,11.594682,475.51
1180,7,48.616035,11.5352,434.17
1180,8,48.703364,11.488076,373.13
1180,9,48.788922,11.460695,372.17
11800,1,14.5594901,121.0296701,42
11800,10,15.1716282,120.6080617,135
11800,11,15.2427544,120.5679239,152
11800,12,15.3213416,120.5867471,97
11800,13,15.4075875,120.6019037,125
11800,14,15.4900102,120.5963159,92
11800,2,14.6261736,121.0480873,90
11800,3,14.6842293,121.0007988,56
11800,4,14.764487,120.9627843,50
11800,5,14.8314751,120.9063333,59
11800,6,14.8872996,120.8339216,56
11800,7,14.9570053,120.7744676,53
11800,8,15.028879,120.7185006,50
11800,9,15.1015298,120.6658274,84
118000,1,59.114017,38.00513,
118000,10,59.124279,37.975765,
118000,11,59.091632,37.934406,
118000,12,59.122341,37.987781,
118000,13,59.117038,37.902156,
118000,14,59.125308,37.921779,
118000,15,59.127162,37.953388,
118000,16,59.095539,37.913387,
118000,17,59.11803,38.007595,
118000,18,59.105495,37.905742,
118000,19,59.128612,37.938724,
118000,2,59.101886,37.908451,
118000,20,59.148014,37.964488,
118000,21,59.150524,37.952434,
118000,3,59.128078,37.943584,
118000,4,59.125125,37.930789,
118000,5,59.108455,37.905117,
118000,6,59.116695,37.9874,
118000,7,59.130313,37.979999,
118000,8,59.127239,37.90694,
118000,9,59.1235,37.90546,
118001,1,59.091678,37.934131,
118001,10,59.091781,37.932998,
118001,11,59.122222,37.988796,
118001,12,59.117294,37.90208,
118001,13,59.12553,37.920154,
118001,14,59.126888,37.955802,
118001,15,59.094654,37.914447,
118001,16,59.120113,38.004596,
118001,17,59.147926,37.954483,
118001,18,59.110626,37.904548,
118001,19,59.11708,37.984458,
118001,2,59.122535,37.986469,
118001,20,59.097415,37.923717,
118001,21,59.125617,37.964134,
118001,22,59.121948,37.979949,
118001,23,59.092124,37.930431,
118001,24,59.123443,37.980186,
118001,25,59.121238,37.903396,
118001,26,59.126304,37.914211,
118001,27,59.126304,37.960769,
118001,28,59.094718,37.914382,
118001,29,59.119888,38.005996,
118001,3,59.145442,37.935562,
118001,30,59.107891,37.905025,
118001,31,59.128238,37.932285,
118001,32,59.128879,37.939037,
118001,33,59.086746,37.918895,
118001,34,59.152378,37.916301,
118001,35,59.169761,37.786056,
118001,36,59.180511,37.687122,
118001,37,59.122642,37.985622,
118001,38,59.118808,37.902175,
118001,39,59.125877,37.917491,
118001,4,59.116893,37.986244,
118001,40,59.127002,37.959804,
118001,41,59.126674,37.954933,
118001,42,59.096721,37.912582,
118001,43,59.117542,38.007373,
118001,44,59.104637,37.906448,
118001,45,59.128467,37.939758,
118001,46,59.126583,37.931423,
118001,47,59.10746,37.905406,
118001,48,59.116462,37.988986,
118001,49,59.098876,37.919616,
118001,5,59.098228,37.924148,
118001,50,59.126552,37.956954,
118001,51,59.125759,37.918796,
118001,52,59.118473,37.902996,
118001,53,59.119983,37.978763,
118001,54,59.103523,37.907604,
118001,55,59.118038,37.977859,
118001,56,59.093128,37.922744,
118001,57,59.136215,37.935249,
118001,58,59.098056,37.910949,
118001,59,59.126277,37.931385,
118001,6,59.125839,37.962612,
118001,60,59.128353,37.941135,
118001,61,59.100383,37.909824,
118001,62,59.114135,38.004482,
118001,63,59.102359,37.908042,
118001,64,59.127479,37.948974,
118001,65,59.124809,37.926197,
118001,66,59.113468,37.903766,
118001,67,59.116901,37.978115,
118001,68,59.093204,37.922176,
118001,69,59.123908,37.97665,
118001,7,59.126602,37.912082,
118001,70,59.123348,38.051639,
118001,71,59.122425,37.987274,
118001,72,59.11874,37.902168,
118001,73,59.125267,37.922119,
118001,74,59.136898,37.97718,
118001,75,59.121963,37.979911,
118001,76,59.092132,37.930316,
118001,77,59.122802,37.984771,
118001,78,59.126178,37.961887,
118001,8,59.122852,37.905036,
118001,9,59.123996,37.977554,
118002,1,56.342716,36.765308,
118002,10,56.468708,36.583606,
118002,11,56.349689,36.704608,
118002,12,56.349979,36.704593,
118002,13,56.397037,36.656818,
118002,14,56.528545,36.528491,
118002,15,56.68909,36.770946,
118002,16,56.675891,36.950626,
118002,17,56.62952,36.943836,
118002,18,56.612758,36.92844,
118002,19,56.632114,36.690288,
118002,2,56.367389,36.686916,
118002,20,56.559047,36.545406,
118002,21,56.489063,36.562839,
118002,22,56.408519,36.644878,
118002,23,56.337947,36.761737,
118002,24,56.36539,36.68893,
118002,25,56.456066,36.596714,
118002,26,56.496334,36.555576,
118002,27,56.619548,36.656147,
118002,28,56.683177,36.78403,
118002,29,56.628398,36.900417,
118002,3,56.446743,36.606235,
118002,30,56.658702,36.968631,
118002,31,56.625957,36.909656,
118002,32,56.661167,36.716777,
118002,33,56.564075,36.568675,
118002,34,56.482082,36.569896,
118002,35,56.395145,36.658496,
118002,36,56.338016,36.761905,
118002,37,56.374607,36.679668,
118002,38,56.471271,36.581211,
118002,39,56.527072,36.529384,
118002,4,56.530223,36.5275,
118002,40,56.678234,36.749324,
118002,41,56.680065,36.757083,
118002,42,56.597309,36.617137,
118002,43,56.535358,36.52425,
118002,44,56.474033,36.578113,
118002,45,56.370769,36.683322,
118002,46,56.337024,36.770305,
118002,5,56.662273,36.717357,
118002,6,56.640773,36.841487,
118002,7,56.620456,36.919437,
118002,8,56.616779,36.643901,
118002,9,56.547069,36.516811,
118003,1,43.426582,39.934967,
118003,10,43.550282,39.985001,
118003,11,43.52095,39.983364,
118003,12,43.558998,40.001686,
118003,13,43.616428,40.062866,
118003,14,43.67569,40.203087,
118003,15,43.667583,40.185307,
118003,16,43.616421,40.058468,
118003,17,43.534504,39.977737,
118003,18,43.507565,39.988525,
118003,19,43.593349,40.01107,
118003,2,43.478065,39.982285,
118003,20,43.64809,40.14291,
118003,21,43.684364,40.243576,
118003,22,43.483566,39.98518,
118003,23,43.541534,39.972519,
118003,24,43.501202,39.987438,
118003,25,43.586971,40.007092,
118003,26,43.639107,40.111713,
118003,27,43.685528,40.237156,
118003,28,43.657158,40.16309,
118003,29,43.635757,40.106392,
118003,3,43.546875,39.976963,
118003,30,43.534519,39.980228,
118003,31,43.5401,40.000641,
118003,32,43.593983,40.016743,
118003,33,43.648273,40.143501,
118003,34,43.686798,40.23439,
118003,35,43.641281,40.118771,
118003,36,43.593151,40.008766,
118003,37,43.537399,39.979759,
118003,38,43.523941,40.001282,
118003,39,43.593895,40.016563,
118003,4,43.509888,39.986534,
118003,40,43.651215,40.149647,
118003,41,43.679836,40.211689,
118003,42,43.631248,40.090996,
118003,43,43.591629,40.007893,
118003,44,43.521187,39.983074,
118003,45,43.565323,40.000103,
118003,46,43.634464,40.100754,
118003,47,43.676044,40.20396,
118003,48,43.651169,40.149185,
118003,49,43.63921,40.111526,
118003,5,43.578602,40.004566,
118003,50,43.510422,39.988663,
118003,51,43.449375,39.938133,
118003,52,43.442364,39.95993,
118003,53,43.524559,40.001686,
118003,54,43.524647,39.992634,
118003,55,43.557522,39.995628,
118003,56,43.616268,40.062332,
118003,57,43.670353,40.192558,
118003,58,43.67997,40.211861,
118003,59,43.631222,40.091003,
118003,6,43.624229,40.072803,
118003,60,43.560375,39.99622,
118003,61,43.536003,39.972973,
118003,7,43.673054,40.199451,
118003,8,43.664768,40.174889,
118003,9,43.616219,40.060532,
118004,1,43.42651,39.935154,
118004,10,43.534534,39.983253,
118004,11,43.537949,39.996044,
118004,12,43.616402,40.062748,
118004,13,43.645329,40.133789,
118004,14,43.68269,40.217007,
118004,15,43.634453,40.099461,
118004,16,43.557129,39.995747,
118004,17,43.537258,39.971172,
118004,18,43.548,39.995564,
118004,19,43.616302,40.062534,
118004,2,43.480282,39.983036,
118004,20,43.676125,40.204021,
118004,21,43.664684,40.174713,
118004,22,43.626907,40.078075,
118004,23,43.557301,39.995575,
118004,24,43.5252,39.98719,
118004,25,43.56102,39.996681,
118004,26,43.62394,40.07214,
118004,27,43.669998,40.191753,
118004,28,43.678528,40.209763,
118004,29,43.633335,40.097782,
118004,3,43.546295,39.974831,
118004,30,43.574921,40.001751,
118004,31,43.481133,39.982998,
118004,32,43.425812,39.928383,
118004,33,43.425217,39.927975,
118004,34,43.407726,39.986115,
118004,35,43.426544,39.935177,
118004,4,43.515347,39.988758,
118004,5,43.593746,40.016121,
118004,6,43.656895,40.162418,
118004,7,43.682343,40.222149,
118004,8,43.643169,40.126011,
118004,9,43.585522,40.005337,
118005,1,52.743575,41.467278,
118005,10,52.721511,41.45328,
118005,11,52.739071,41.459328,
118005,12,52.742543,41.474946,
118005,13,52.732308,41.45355,
118005,14,52.719988,41.440405,
118005,15,52.720741,41.447435,
118005,16,52.737291,41.45203,
118005,17,52.74314,41.466171,
118005,2,52.743846,41.468061,
118005,3,52.727046,41.455088,
118005,4,52.719056,41.431788,
118005,5,52.722233,41.456268,
118005,6,52.74115,41.462555,
118005,7,52.742998,41.47224,
118005,8,52.730085,41.454323,
118005,9,52.719433,41.435618,
118006,1,54.859633,83.083027,
118006,10,54.852183,83.06981,
118006,11,54.889138,83.076255,
118006,12,54.863798,83.104233,
118006,13,54.886617,83.076022,
118006,14,54.859852,83.076958,
118006,15,54.866177,83.080508,
118006,16,54.889267,83.076507,
118006,17,54.860907,83.105377,
118006,18,54.849985,83.063893,
118006,19,54.850032,83.064022,
118006,2,54.889488,83.094537,
118006,20,54.850352,83.063487,
118006,21,54.889183,83.076372,
118006,22,54.868655,83.075448,
118006,23,54.86384,83.109352,
118006,24,54.982978,82.871538,
118006,25,54.83797,83.089173,
118006,26,54.859553,83.085137,
118006,27,54.840007,83.08658,
118006,28,54.835773,83.099562,
118006,29,54.846358,83.060867,
118006,3,54.869773,83.088018,
118006,30,54.847255,83.110175,
118006,31,54.837193,83.077613,
118006,32,54.863867,83.08018,
118006,33,54.815333,83.099265,
118006,34,54.869698,83.080978,
118006,35,54.840342,83.086102,
118006,36,54.839303,83.233177,
118006,37,54.843113,83.112157,
118006,38,54.847097,83.118553,
118006,39,54.845848,83.220145,
118006,4,54.866877,83.075268,
118006,40,54.848678,83.163212,
118006,41,54.850603,83.174553,
118006,42,54.852208,83.185015,
118006,43,54.843048,83.139395,
118006,44,54.839232,83.233147,
118006,45,54.843283,83.098227,
118006,46,54.849658,83.064182,
118006,47,54.843173,83.112092,
118006,5,54.867825,83.075585,
118006,6,54.863777,83.099137,
118006,7,54.889053,83.095267,
118006,8,54.869702,83.084872,
118006,9,54.867057,83.075163,
118007,1,52.675975,41.456655,
118007,10,52.707896,41.467975,
118007,11,52.760015,41.403181,
118007,12,52.701586,41.464203,
118007,13,52.726343,41.455266,
118007,14,52.756538,41.430715,
118007,15,52.683781,41.462106,
118007,16,52.745805,41.449898,
118007,17,52.751078,41.44846,
118007,18,52.679368,41.46428,
118007,19,52.758223,41.440695,
118007,2,52.700078,41.463495,
118007,20,52.734821,41.452905,
118007,21,52.675918,41.46593,
118007,22,52.758173,41.446015,
118007,23,52.740681,41.451073,
118007,24,52.693493,41.46386,
118007,25,52.753445,41.425038,
118007,26,52.720216,41.457255,
118007,27,52.7059,41.470308,
118007,28,52.762466,41.405776,
118007,29,52.702786,41.471468,
118007,3,52.753626,41.447953,
118007,30,52.67535,41.466246,
118007,4,52.682241,41.462923,
118007,5,52.758221,41.439393,
118007,6,52.73252,41.45336,
118007,7,52.6946,41.463606,
118007,8,52.750418,41.418511,
118007,9,52.720076,41.457316,
118008,1,55.93591,23.322328,
118008,10,55.997906,22.996398,
118008,11,55.935836,23.322339,
118008,2,55.966655,23.192843,
118008,3,55.992218,23.035083,
118008,4,55.999409,22.896507,
118008,5,56.004693,22.732484,
118008,6,56.000709,22.567881,
118008,7,56.003317,22.402629,
118008,8,56.004033,22.238295,
118008,9,56.004532,22.325014,
118009,1,58.992527,31.547263,
118009,10,59.998226,30.092583,
118009,11,60.084722,29.956284,
118009,12,60.150661,29.979243,
118009,13,60.196688,29.55627,
118009,14,60.232394,29.438639,
118009,15,60.296187,29.295623,
118009,16,60.365882,29.20505,
118009,17,60.421286,29.106946,
118009,18,60.444567,29.220865,
118009,19,60.458558,29.103513,
118009,2,59.050033,31.600971,
118009,20,60.466454,29.173658,
118009,21,60.416243,29.119048,
118009,22,60.330648,29.233825,
118009,23,60.270417,29.35843,
118009,24,60.218554,29.497261,
118009,25,60.192397,29.678192,
118009,26,60.166411,29.866354,
118009,27,60.097017,29.979823,
118009,28,60.024962,30.005422,
118009,29,59.989257,30.176482,
118009,3,59.135692,31.63054,
118009,30,59.988828,30.202146,
